iter	Logloss
0	0.6839185222
1	0.6737641692
2	0.6635771246
3	0.6534961916
4	0.6430545657
5	0.6338773769
6	0.6246282691
7	0.6161861949
8	0.6077962956
9	0.5987848641
10	0.59153055
11	0.5828542024
12	0.5758263031
13	0.5681116934
14	0.5601252223
15	0.5529649397
16	0.5457845206
17	0.5388688934
18	0.5323690748
19	0.526405233
20	0.5209573835
21	0.5156384641
22	0.5109140499
23	0.5048595589
24	0.498226167
25	0.493442444
26	0.489509279
27	0.4838031473
28	0.4780336907
29	0.4728054234
30	0.4683536236
31	0.4637933325
32	0.4584945501
33	0.4543832793
34	0.4502250331
35	0.446106921
36	0.442927421
37	0.439494413
38	0.4349410236
39	0.4305060347
40	0.4273994371
41	0.4243866429
42	0.4209920688
43	0.4178757473
44	0.4149213549
45	0.4113077985
46	0.4080053603
47	0.4044147312
48	0.4005317977
49	0.3972789266
50	0.3934763852
51	0.3902898764
52	0.387347483
53	0.3845822784
54	0.3819318574
55	0.3795699889
56	0.3773179444
57	0.3740944736
58	0.3717071123
59	0.3694567382
60	0.3674611239
61	0.3645934533
62	0.3628616816
63	0.3606377166
64	0.3585069503
65	0.3564347934
66	0.3542551329
67	0.3516419441
68	0.3495360956
69	0.3490644964
70	0.3468459809
71	0.3445333816
72	0.3426879064
73	0.3412850242
74	0.3398996615
75	0.3381174259
76	0.3361638274
77	0.3339852466
78	0.3322015966
79	0.3303090919
80	0.3287962513
81	0.3274013329
82	0.3259189853
83	0.3238718096
84	0.3225134116
85	0.3205745731
86	0.3199243994
87	0.3184733467
88	0.3174963575
89	0.3161630482
90	0.3153211131
91	0.3137684666
92	0.3127562283
93	0.3113975995
94	0.3102770762
95	0.3090396309
96	0.3076984259
97	0.3065818379
98	0.3058279645
99	0.3045840567
100	0.3035360071
101	0.3028331363
102	0.3015653293
103	0.3006666398
104	0.2998400061
105	0.2984246919
106	0.2970373394
107	0.2960502035
108	0.2952129303
109	0.2941886366
110	0.2935039646
111	0.2926017496
112	0.2915830096
113	0.291257086
114	0.2899395416
115	0.2891931933
116	0.2886833751
117	0.2879452373
118	0.2872163448
119	0.2862968334
120	0.285796374
121	0.2849194678
122	0.2841576086
123	0.2831155449
124	0.2825286904
125	0.2815004117
126	0.280351423
127	0.2796662944
128	0.2787924052
129	0.2777980009
130	0.2770144608
131	0.2761048504
132	0.2754068525
133	0.27446988
134	0.2733712276
135	0.2723212533
136	0.2710955856
137	0.269679483
138	0.2689546581
139	0.2684927648
140	0.2675791613
141	0.2670952615
142	0.2662627292
143	0.2655396371
144	0.2654177887
145	0.2647735319
146	0.2641409981
147	0.2634191515
148	0.262445125
149	0.2616581516
150	0.2610661134
151	0.2605184445
152	0.260011306
153	0.2595440639
154	0.2588549794
155	0.2584193318
156	0.2578862293
157	0.2574041402
158	0.2565874093
159	0.2557897825
160	0.2550313912
161	0.2547617491
162	0.2537796991
163	0.2530528486
164	0.2522588598
165	0.2515996654
166	0.2508713872
167	0.250374434
168	0.2498029715
169	0.2486556126
170	0.2482968288
171	0.2478559586
172	0.2475215405
173	0.2467785469
174	0.2462827123
175	0.2457101896
176	0.2450992726
177	0.2445007641
178	0.2438703686
179	0.243104851
180	0.2423845356
181	0.2417936979
182	0.2410146489
183	0.2407879233
184	0.240009255
185	0.2394651332
186	0.2391483375
187	0.2383461205
188	0.2378908277
189	0.2373354948
190	0.2368440921
191	0.2364144637
192	0.2359329777
193	0.2354106541
194	0.2351009264
