iter	Passed	Remaining
0	2	2051
1	3	1911
2	5	1906
3	7	1961
4	10	2099
5	12	2047
6	14	2066
7	16	2042
8	18	2007
9	20	2002
10	22	1984
11	23	1970
12	25	1950
13	27	1939
14	30	1994
15	32	1988
16	34	1996
17	36	1979
18	38	1973
19	40	1960
20	41	1948
21	43	1936
22	45	1933
23	47	1923
24	50	1962
25	52	1968
26	53	1930
27	55	1921
28	57	1919
29	59	1937
30	61	1931
31	63	1925
32	65	1917
33	68	1939
34	70	1936
35	72	1939
36	74	1931
37	75	1922
38	77	1915
39	79	1907
40	81	1915
41	84	1923
42	87	1942
43	89	1934
44	91	1936
45	93	1929
46	94	1921
47	96	1919
48	98	1914
49	100	1907
50	102	1901
51	103	1895
52	106	1909
53	108	1908
54	111	1909
55	113	1908
56	114	1902
57	116	1897
58	118	1894
59	120	1888
60	122	1885
61	124	1881
62	127	1890
63	129	1891
64	131	1885
65	132	1880
66	134	1877
67	136	1874
68	138	1869
69	139	1850
70	141	1845
71	142	1840
72	145	1848
73	147	1846
74	149	1848
75	151	1843
76	153	1838
77	155	1834
78	156	1830
79	158	1827
80	160	1825
81	163	1833
82	165	1830
83	167	1829
84	169	1826
85	171	1822
86	173	1820
87	175	1815
88	177	1812
89	179	1810
90	184	1841
91	186	1843
92	187	1832
93	189	1824
94	191	1821
95	192	1811
96	193	1801
97	194	1791
98	195	1781
99	197	1773
100	199	1776
101	202	1779
102	203	1772
103	204	1765
104	206	1760
105	207	1751
106	208	1743
107	210	1734
108	211	1726
109	212	1719
110	213	1710
111	214	1702
112	215	1694
113	217	1686
114	218	1679
115	219	1670
116	221	1668
117	222	1660
118	223	1653
119	224	1648
120	225	1640
121	227	1633
122	228	1626
123	229	1619
124	230	1612
125	231	1605
126	232	1599
127	233	1593
128	234	1586
129	236	1581
130	237	1574
131	238	1571
132	240	1565
133	241	1558
134	242	1553
135	243	1547
136	244	1541
137	245	1535
138	246	1529
139	248	1524
140	249	1518
141	250	1513
142	251	1507
143	252	1502
144	253	1493
145	254	1487
146	255	1482
147	256	1478
148	258	1476
149	259	1471
150	260	1467
151	263	1467
152	266	1476
153	268	1472
154	269	1467
155	270	1462
156	271	1458
157	272	1453
158	274	1449
159	275	1444
160	276	1443
161	278	1438
162	279	1434
163	280	1431
164	281	1426
165	283	1421
166	284	1417
167	285	1413
168	286	1409
169	287	1404
170	288	1400
171	290	1397
172	291	1392
173	292	1388
174	293	1384
175	294	1379
176	296	1378
177	297	1374
178	298	1370
179	300	1367
180	301	1363
181	302	1359
182	303	1355
183	304	1351
184	306	1348
185	307	1344
186	308	1342
187	309	1338
188	311	1334
189	312	1331
190	313	1328
191	315	1327
192	316	1323
193	317	1319
194	319	1317
195	320	1313
196	321	1310
197	322	1307
198	324	1304
199	325	1300
200	326	1297
201	327	1294
202	328	1290
203	330	1288
204	331	1285
205	332	1282
206	334	1280
207	335	1276
208	336	1274
209	338	1272
210	339	1268
211	340	1265
212	341	1262
213	342	1259
214	343	1255
215	345	1252
216	346	1250
217	347	1246
218	348	1243
219	349	1240
220	351	1238
221	353	1237
222	354	1234
223	355	1231
224	356	1228
225	357	1225
226	359	1222
227	360	1219
228	361	1217
229	362	1214
230	363	1211
231	365	1208
232	366	1205
233	367	1202
234	368	1200
235	369	1197
236	371	1196
237	372	1193
238	374	1190
239	375	1189
240	376	1186
241	378	1184
242	379	1181
243	380	1178
244	381	1175
245	382	1173
246	384	1170
247	385	1168
248	386	1166
249	387	1163
250	389	1160
251	390	1159
252	391	1156
253	392	1153
254	394	1151
255	395	1149
256	396	1146
257	397	1144
258	399	1141
259	400	1139
260	401	1136
261	402	1134
262	404	1132
263	405	1130
264	406	1127
265	407	1124
266	409	1123
267	410	1120
268	411	1119
269	413	1117
270	414	1114
271	415	1112
272	416	1109
273	419	1111
274	420	1109
275	422	1107
276	423	1105
277	424	1103
278	426	1101
279	428	1100
280	429	1098
281	430	1095
282	431	1093
283	432	1091
284	434	1089
285	435	1086
286	436	1084
287	437	1082
288	438	1079
289	440	1077
290	441	1075
291	442	1072
292	443	1070
293	444	1068
294	446	1066
295	447	1064
296	448	1062
297	450	1061
298	451	1058
299	453	1057
300	454	1054
301	455	1053
302	456	1050
303	457	1048
304	459	1046
305	460	1044
306	461	1042
307	463	1040
308	464	1038
309	465	1036
310	466	1034
311	468	1032
312	469	1030
313	470	1028
314	471	1025
315	473	1023
316	474	1022
317	475	1020
318	476	1018
319	478	1016
320	479	1013
321	480	1012
322	481	1009
323	482	1007
324	484	1005
325	485	1003
326	487	1002
327	488	1000
328	489	998
329	490	996
330	492	994
331	493	992
332	494	990
333	495	988
334	497	987
335	499	986
336	500	984
337	501	982
338	503	981
339	504	979
340	506	979
341	508	977
342	509	976
343	511	975
344	513	974
345	514	973
346	516	971
347	517	969
348	518	967
349	519	965
350	521	964
351	522	962
352	523	960
353	525	958
354	526	956
355	527	954
356	528	952
357	530	950
358	531	948
359	532	946
360	533	944
361	534	941
362	535	939
363	536	937
364	537	935
365	538	933
366	540	932
367	542	930
368	543	929
369	545	928
370	546	926
371	547	924
372	548	922
373	549	920
374	550	918
375	552	916
376	553	914
